id,year_recorded,month_recorded,day_recorded,age_of_pump,date_recorded_distance_days_20140101,funder_num,installer_num,wpt_name_num,basin_num,subvillage_num,region_num,lga_num,ward_num,public_meeting_num,recorded_by_num,scheme_management_num,scheme_name_num,permit_num,extraction_type_num,extraction_type_group_num,extraction_type_class_num,management_num,management_group_num,payment_num,payment_type_num,water_quality_num,quality_group_num,quantity_num,quantity_group_num,source_num,source_type_num,source_class_num,waterpoint_type_num,waterpoint_type_group_num
69961,2013,3,12,3,295,1,2,43411,8,7386,1,119,2065,1,0,6,0,0,14,10,5,2,1,0,2,6,2,1,1,3,0,0,1,1
55083,2011,3,7,3,1031,377,443,45683,6,11107,3,91,2086,1,0,8,1173,0,3,1,0,7,4,0,2,6,2,2,2,8,6,0,1,1
8691,2013,2,4,8,331,1842,443,29605,3,6145,5,31,1391,1,0,8,0,1,9,6,3,7,4,6,6,3,3,1,1,7,5,0,6,5
30331,2013,2,9,43,326,0,0,368,0,14128,18,109,1531,1,0,8,1202,2,7,4,2,7,4,6,6,7,5,0,0,3,0,0,1,1
70970,2012,10,7,2012,451,1197,443,44461,4,2552,17,58,40,1,0,10,0,0,8,5,1,11,4,0,2,6,2,1,1,7,5,0,4,3
61136,2011,2,23,3,1043,1934,443,28627,6,13313,3,91,357,1,0,8,521,0,3,1,0,7,4,3,1,6,2,1,1,8,6,0,1,1
28799,2013,2,18,4,317,483,443,42905,7,9632,16,111,1072,1,0,8,1768,1,3,1,0,7,4,0,2,6,2,0,0,6,4,1,1,1
46825,2011,4,10,2011,997,2065,1180,19232,8,1752,2,14,1411,1,0,8,505,0,7,4,2,7,4,4,5,4,4,0,0,3,0,0,2,1
44718,2013,2,4,2013,331,385,443,39582,4,16984,17,5,904,1,0,10,0,0,8,5,1,11,4,5,3,5,4,1,1,7,5,0,4,3
37350,2013,2,20,11,315,116,155,45426,0,10750,8,41,1753,1,0,8,30,0,3,1,0,7,4,0,2,6,2,3,3,5,3,1,1,1
65738,2013,12,3,11,29,1443,483,840,0,2127,0,27,1794,1,0,8,413,1,3,1,0,7,4,4,5,6,2,1,1,6,4,1,1,1
3271,2012,10,29,2012,429,508,443,3458,0,19369,19,94,334,0,0,8,0,1,7,4,2,7,4,0,2,6,2,1,1,3,0,0,1,1
42658,2012,11,5,2012,422,1893,1964,43411,3,3061,19,124,423,1,0,8,0,1,0,0,1,7,4,0,2,6,2,3,3,7,5,0,4,3
67523,2013,3,13,15,294,1443,483,18888,0,7008,0,27,1794,1,0,8,774,1,3,1,0,7,4,4,5,0,0,1,1,6,4,1,2,1
37034,2011,3,27,33,1011,1962,443,43411,6,20565,3,91,369,1,0,9,2860,1,3,1,0,10,4,3,1,6,2,1,1,6,4,1,1,1
42432,2011,7,4,33,912,1962,443,10105,6,16536,3,91,1186,1,0,9,2861,1,3,1,0,10,4,3,1,6,2,1,1,6,4,1,1,1
27420,2011,3,14,40,1024,1106,443,6946,5,11195,20,68,1074,1,0,8,234,1,3,1,0,7,4,0,2,0,0,2,2,8,6,0,1,1
707,2013,2,22,41,313,508,309,15054,5,1970,6,84,198,1,0,9,906,0,3,1,0,10,4,3,1,6,2,1,1,8,6,0,1,1
48489,2011,2,27,27,1039,1268,443,43411,8,13723,11,83,280,1,0,8,331,1,3,1,0,7,4,0,2,6,2,2,2,6,4,1,1,1
51008,2011,3,30,2011,1008,294,385,45139,2,3090,10,60,2048,1,0,8,0,0,3,1,0,11,4,5,3,6,2,0,0,6,4,1,1,1
72562,2013,2,6,7,329,680,833,43828,7,21354,12,77,1568,1,0,8,2055,1,14,10,5,7,4,4,5,6,2,1,1,3,0,0,2,1
10275,2011,3,19,28,1019,508,443,34152,5,10960,20,80,1664,1,0,8,0,0,4,2,1,7,4,0,2,6,2,2,2,7,5,0,4,3
53540,2012,10,12,2012,446,2107,2290,16499,4,5576,17,104,2044,1,0,8,753,1,9,6,3,7,4,0,2,6,2,1,1,3,0,0,2,1
43291,2011,8,14,2011,871,1561,1723,40332,4,18084,13,45,1635,1,0,8,0,1,15,11,1,7,4,0,2,7,5,0,0,7,5,0,4,3
8813,2011,7,28,2011,888,1091,443,4956,4,4305,13,45,243,1,0,8,648,1,14,10,5,7,4,4,5,6,2,1,1,2,4,1,2,1
62343,2011,4,3,2011,1004,508,305,1078,6,3087,10,60,390,1,0,8,0,1,3,1,0,11,4,5,3,6,2,0,0,6,4,1,1,1
1649,2012,10,15,2012,443,1127,1319,5596,3,20521,19,124,1998,1,0,8,0,1,4,2,1,7,4,5,3,6,2,1,1,3,0,0,4,3
8822,2013,3,4,6,303,659,760,34694,5,6408,6,101,1648,1,0,12,2141,1,14,10,5,7,4,4,5,4,4,2,2,3,0,0,1,1
10352,2011,4,12,2011,995,1496,1614,14208,6,11172,10,60,2016,0,0,8,0,0,3,1,0,11,4,5,3,6,2,1,1,6,4,1,1,1
50878,2012,10,16,2012,442,508,638,38496,4,15186,17,58,40,1,0,12,1435,0,3,1,0,4,0,3,1,6,2,1,1,0,1,1,1,1
15266,2011,7,23,2011,893,0,0,15265,1,7428,10,100,793,1,0,8,645,2,3,1,0,7,4,0,2,6,2,1,1,8,6,0,1,1
51956,2011,3,18,37,1020,508,443,43828,5,20802,20,52,1301,1,0,8,1928,1,3,1,0,7,4,0,2,6,2,1,1,8,6,0,1,1
44099,2013,2,9,21,326,294,385,35068,7,16846,16,120,860,1,0,8,0,0,15,11,1,7,4,3,1,6,2,2,2,3,0,0,4,3
59,2012,10,15,2012,443,388,443,10835,0,19399,17,40,1952,1,0,8,2125,1,3,1,0,7,4,4,5,6,2,2,2,8,6,0,2,1
51359,2013,1,19,11,347,698,443,40567,7,13673,7,37,1773,2,0,8,2322,0,14,10,5,7,4,6,6,6,2,4,4,3,0,0,2,1
15962,2011,8,1,2011,884,574,722,1330,4,17876,13,15,1727,1,0,8,193,1,9,6,3,7,4,6,6,7,5,0,0,3,0,0,6,5
17853,2011,8,7,12,878,574,443,8435,4,8006,13,121,142,1,0,0,0,1,3,1,0,7,4,0,2,6,2,2,2,8,6,0,5,4
42040,2013,3,30,43,277,508,638,28381,5,5367,6,73,1044,1,0,9,1443,1,3,1,0,10,4,0,2,6,2,2,2,8,6,0,1,1
72243,2013,2,12,23,323,294,385,13337,6,15918,16,86,1375,1,0,10,0,0,15,11,1,11,4,5,3,6,2,1,1,7,5,0,4,3
63653,2013,3,28,9,279,2107,443,42560,5,49,0,0,1767,1,0,8,1633,1,3,1,0,7,4,0,2,6,2,2,2,8,6,0,1,1
26510,2012,10,13,2012,445,2109,2297,44595,0,4214,17,58,113,1,0,10,0,0,8,5,1,11,4,1,4,6,2,1,1,7,5,0,4,3
72053,2011,8,1,2011,884,258,1994,38541,4,8022,4,89,949,1,0,8,0,0,3,1,0,7,4,0,2,6,2,2,2,8,6,0,6,5
29351,2012,10,19,1,439,1410,652,43898,4,19887,9,118,263,1,0,8,2409,1,0,0,1,7,4,3,1,6,2,1,1,7,5,0,4,3
51897,2013,1,29,23,337,0,0,35281,0,10258,18,109,1430,1,0,8,0,2,9,6,3,7,4,6,6,7,5,0,0,7,5,0,6,5
20376,2011,3,4,2011,1034,294,443,45683,6,9589,3,79,321,1,0,8,0,1,15,11,1,7,4,2,0,6,2,1,1,1,0,0,4,3
26804,2011,3,23,1,1015,1739,443,35534,6,4025,11,122,402,1,0,0,0,1,8,5,1,7,4,3,1,6,2,1,1,7,5,0,4,3
67303,2013,3,19,25,288,508,443,18062,5,20749,0,0,1296,1,0,8,1237,1,3,1,0,7,4,0,2,6,2,1,1,8,6,0,6,5
69780,2013,2,18,51,317,508,479,19029,5,5086,6,96,744,1,0,1,948,1,3,1,0,0,0,3,1,6,2,2,2,8,6,0,1,1
45374,2013,2,16,2013,319,385,443,32938,4,9954,13,54,1665,2,0,10,0,0,8,5,1,11,4,6,6,6,2,1,1,7,5,0,4,3
54665,2013,3,17,5,290,487,230,19953,5,17131,6,16,955,1,0,11,1233,1,3,1,0,9,4,4,5,6,2,1,1,8,6,0,1,1
39341,2013,2,11,35,324,508,638,24875,3,14063,5,28,1447,1,0,12,0,0,6,10,5,7,4,1,4,6,2,1,1,3,0,0,2,1
8869,2013,2,3,27,332,294,385,27100,7,20566,16,120,1546,1,0,8,19,0,3,1,0,7,4,3,1,6,2,1,1,6,4,1,1,1
20691,2011,4,8,2011,999,809,895,41929,2,15984,10,62,1806,1,0,8,0,0,8,5,1,7,4,5,3,6,2,2,2,7,5,0,4,3
19693,2013,2,19,5,316,29,78,1344,0,19488,8,17,283,1,0,8,860,1,3,1,0,7,4,0,2,6,2,0,0,8,6,0,1,1
14321,2011,8,20,26,865,1574,443,734,2,8721,15,113,851,1,0,8,0,0,4,2,1,7,4,0,2,6,2,1,1,3,0,0,4,3
63059,2013,2,8,2013,327,508,638,33464,4,15484,17,58,1030,1,0,10,1350,0,3,1,0,11,4,4,5,6,2,2,2,3,0,0,2,1
67403,2011,3,5,2,1033,508,443,21005,5,6416,20,80,639,1,0,8,1820,0,3,1,0,7,4,0,2,6,2,2,2,3,0,0,2,1
28912,2013,3,21,5,286,487,230,13486,5,18711,6,16,955,1,0,11,1233,1,3,1,0,9,4,4,5,6,2,1,1,8,6,0,1,1
12549,2011,3,10,2011,1028,2107,634,42518,0,10732,2,4,294,1,0,8,2150,1,7,4,2,7,4,4,5,6,2,1,1,3,0,0,1,1
24328,2013,3,6,41,301,508,309,8883,5,10949,6,84,855,1,0,11,264,1,3,1,0,9,4,3,1,6,2,2,2,8,6,0,6,5
13750,2012,10,28,2012,430,2067,2265,3531,3,9894,19,123,1446,1,0,8,0,1,0,0,1,7,4,0,2,6,2,1,1,7,5,0,4,3
1574,2011,3,23,42,1015,508,443,22203,5,197,20,52,87,1,0,8,1475,1,3,1,0,7,4,0,2,6,2,1,1,8,6,0,1,1
44149,2011,7,8,2011,908,574,443,32057,4,951,4,66,565,1,0,8,0,1,15,11,1,7,4,0,2,6,2,2,2,7,5,0,4,3
53917,2011,7,10,2011,906,574,443,43411,4,18399,4,26,1683,1,0,9,1171,1,3,1,0,7,4,2,0,6,2,1,1,8,6,0,1,1
22705,2013,6,3,6,212,508,343,4239,5,124,0,65,1006,1,0,8,1221,1,3,1,0,7,4,6,6,6,2,2,2,8,6,0,1,1
66465,2012,10,25,2012,433,1590,443,45426,3,17872,17,9,1160,1,0,4,0,1,3,1,0,3,2,6,6,6,2,3,3,5,3,1,1,1
15644,2011,7,26,2011,890,1842,443,42713,4,4775,4,7,756,1,0,8,0,1,3,1,0,7,4,0,2,6,2,2,2,5,3,1,1,1
20773,2011,3,30,2011,1008,508,302,9919,0,2686,2,42,270,1,0,8,403,0,7,4,2,7,4,0,2,6,2,1,1,3,0,0,1,1
33092,2011,3,22,2011,1016,1492,1605,6257,6,6564,11,36,631,2,0,3,0,1,3,1,0,1,1,0,2,6,2,1,1,8,6,0,1,1
54392,2013,2,15,1,320,1451,477,7720,5,16859,6,84,741,1,0,5,2261,0,2,8,2,4,0,2,0,7,5,1,1,0,1,1,1,1
37850,2011,3,20,1,1018,770,443,44268,8,15481,14,29,598,1,0,12,2754,1,7,4,2,7,4,4,5,6,2,1,1,6,4,1,2,1
5576,2011,2,14,3,1052,618,746,45683,6,20538,3,34,1405,1,0,8,0,1,15,11,1,7,4,0,2,6,2,1,1,3,0,0,4,3
60840,2013,2,13,15,322,1091,443,25714,0,19404,8,2,1049,1,0,8,1372,1,3,1,0,7,4,0,2,6,2,2,2,8,6,0,1,1
9971,2011,7,16,39,900,508,443,43626,2,14397,15,75,1670,0,0,12,1926,1,3,1,0,8,0,0,2,6,2,1,1,8,6,0,1,1
57508,2011,3,16,15,1022,768,967,36135,8,19643,11,36,918,1,0,8,0,1,8,5,1,7,4,5,3,6,2,2,2,7,5,0,4,3
25872,2012,10,18,2012,440,2109,359,38043,0,14667,19,94,442,0,0,8,0,0,8,5,1,7,4,0,2,6,2,1,1,7,5,0,4,3
43978,2011,3,19,37,1019,508,340,45683,6,10358,3,55,1302,1,0,8,1344,0,3,1,0,7,4,5,3,6,2,1,1,8,6,0,1,1
38181,2011,3,12,25,1026,508,340,45683,1,9435,3,55,394,1,0,8,1566,0,3,1,0,7,4,5,3,6,2,1,1,8,6,0,1,1
24325,2011,3,14,5,1024,37,1001,26818,8,13809,11,83,219,1,0,8,0,1,9,6,3,7,4,0,2,6,2,1,1,7,5,0,4,3
2724,2011,7,12,2011,904,574,672,36358,4,10040,4,7,120,1,0,8,1994,1,3,1,0,7,4,0,2,6,2,2,2,6,4,1,1,1
34794,2011,7,22,33,894,508,443,20313,2,3289,15,75,1916,0,0,12,2594,1,3,1,0,8,0,0,2,6,2,1,1,8,6,0,1,1
56525,2012,10,3,2012,455,25,2198,4788,0,4076,17,25,407,1,0,8,1215,1,3,1,0,7,4,4,5,6,2,1,1,8,6,0,2,1
63155,2011,7,29,2011,887,1703,1780,36358,4,6362,4,81,555,1,0,8,0,1,6,10,5,7,4,0,2,6,2,1,1,8,6,0,1,1
67247,2011,3,1,7,1037,457,1035,8728,8,13582,11,83,1963,1,0,8,1988,1,3,1,0,7,4,4,5,6,2,1,1,6,4,1,1,1
23387,2013,1,26,2,340,508,443,30716,7,13674,7,37,1645,1,0,0,0,1,8,5,1,7,4,0,2,6,2,1,1,7,5,0,4,3
17873,2012,10,19,2012,439,0,0,36088,3,13360,17,9,905,2,0,0,0,0,9,6,3,6,3,6,6,7,5,4,4,9,2,2,4,3
18197,2011,6,3,2,943,809,2166,13641,6,17589,3,91,999,1,0,8,0,0,8,5,1,7,4,0,2,6,2,1,1,1,0,0,4,3
24834,2013,2,16,14,319,721,866,38647,3,4868,5,28,1423,1,0,12,0,1,3,1,0,9,4,3,1,6,2,1,1,8,6,0,1,1
4091,2011,3,8,40,1030,508,443,23370,5,13909,20,52,1310,1,0,8,2491,1,3,1,0,7,4,3,1,6,2,1,1,8,6,0,1,1
33261,2011,4,18,2011,989,0,0,4995,1,4420,10,100,476,1,0,8,2425,2,3,1,0,7,4,6,6,6,2,4,4,8,6,0,1,1
44384,2013,2,7,19,328,2011,2148,35373,0,12474,8,63,273,1,0,8,29,1,14,10,5,7,4,4,5,6,2,1,1,3,0,0,1,1
62096,2012,12,10,2012,387,1867,1956,17475,3,10487,19,115,443,0,0,8,0,1,9,6,3,7,4,0,2,6,2,0,0,7,5,0,6,5
64554,2013,3,15,3,292,1,2,19826,8,13771,1,20,154,2,0,5,0,0,14,10,5,4,0,4,5,6,2,1,1,1,0,0,1,1
68314,2011,3,1,29,1037,294,384,45683,6,6916,3,24,1369,1,0,8,1828,1,3,1,0,7,4,3,1,6,2,1,1,8,6,0,1,1
53,2013,4,4,13,272,508,443,17001,5,19123,0,0,728,1,0,8,2009,1,3,1,0,7,4,4,5,6,2,2,2,8,6,0,1,1
23426,2011,4,4,2011,1003,0,0,4752,1,4020,10,100,434,1,0,8,645,2,3,1,0,7,4,0,2,6,2,1,1,8,6,0,1,1
38259,2013,1,29,29,337,1292,1460,43114,3,12357,15,114,1786,1,0,8,1795,1,3,1,0,7,4,0,2,6,2,0,0,6,4,1,1,1
16631,2013,3,1,15,306,294,385,13581,7,6239,16,86,1270,1,0,10,0,0,15,11,1,11,4,3,1,6,2,2,2,7,5,0,4,3
43162,2013,1,27,13,339,0,0,33356,0,10258,18,109,1430,1,0,1,1202,2,14,10,5,0,0,0,2,6,2,2,2,3,0,0,1,1
44492,2011,7,10,2011,906,574,443,17468,4,8549,4,7,1821,1,0,8,0,1,15,11,1,7,4,0,2,6,2,2,2,7,5,0,4,3
38884,2012,10,14,2012,444,1596,443,44315,0,14877,17,40,2005,0,0,8,0,0,3,1,0,7,4,6,6,6,2,2,2,6,4,1,2,1
13690,2011,3,21,7,1017,456,1365,23243,8,20296,11,71,708,1,0,8,908,1,3,1,0,7,4,3,1,6,2,1,1,6,4,1,1,1
60335,2013,3,18,41,289,508,443,26102,5,10172,6,73,668,2,0,3,1838,1,3,1,0,1,1,0,2,6,2,1,1,6,4,1,1,1
31856,2012,10,6,2012,452,1600,443,35536,3,5350,17,25,2017,1,0,0,0,1,8,5,1,11,4,6,6,6,2,2,2,7,5,0,4,3
67891,2011,3,12,1,1026,2121,2221,1832,8,11321,14,3,148,1,0,9,255,1,6,10,5,10,4,4,5,6,2,1,1,6,4,1,1,1
25564,2011,3,2,27,1036,1960,443,45683,1,6989,3,51,1098,1,0,8,2067,0,3,1,0,7,4,0,2,6,2,1,1,8,6,0,1,1
55293,2011,2,26,27,1040,809,340,45683,1,19748,3,55,923,1,0,8,2583,0,3,1,0,7,4,0,2,6,2,1,1,8,6,0,1,1
31866,2013,3,30,6,277,200,443,12571,5,14425,6,73,701,1,0,11,1198,1,3,1,0,9,4,4,5,6,2,1,1,6,4,1,1,1
71178,2011,7,20,2011,896,809,895,37998,2,11207,10,62,1373,1,0,8,0,0,8,5,1,7,4,5,3,6,2,1,1,7,5,0,4,3
60279,2011,3,4,9,1034,430,2142,45683,6,5765,3,91,2054,1,0,8,604,1,3,1,0,7,4,0,2,6,2,1,1,8,6,0,1,1
28615,2013,3,14,11,293,151,165,4084,1,11566,16,61,1157,1,0,11,158,1,3,1,0,9,4,3,1,6,2,1,1,8,6,0,1,1
8744,2011,3,1,9,1037,508,340,45683,1,3549,3,55,2011,1,0,8,2668,0,3,1,0,7,4,3,1,6,2,1,1,8,6,0,1,1
48308,2012,10,3,2012,455,25,2198,21220,3,20019,17,25,407,1,0,8,1215,1,3,1,0,7,4,4,5,6,2,1,1,8,6,0,2,1
49626,2012,11,8,40,419,1091,1135,18621,4,5789,9,10,93,1,0,9,164,1,3,1,0,10,4,6,6,6,2,0,0,2,4,1,2,1
38098,2013,10,3,3,90,1340,1499,8253,0,20119,0,65,1610,1,0,8,2293,1,3,1,0,10,4,6,6,6,2,2,2,8,6,0,1,1
30309,2013,1,30,15,336,385,443,4071,4,14492,17,5,1660,1,0,10,0,0,8,5,1,11,4,0,2,6,2,1,1,7,5,0,4,3
8015,2011,7,20,2011,896,944,1081,18227,4,3,13,22,370,1,0,5,0,1,8,5,1,4,0,0,2,4,4,1,1,7,5,0,4,3
3496,2011,4,18,6,989,2107,1083,34253,8,13716,11,36,1381,1,0,8,1818,1,14,10,5,7,4,0,2,4,4,1,1,3,0,0,1,1
56971,2011,3,18,1,1020,508,443,23501,5,8479,20,52,1640,1,0,8,0,1,15,11,1,7,4,0,2,4,4,1,1,7,5,0,4,3
68616,2011,7,19,2011,897,1427,1572,37993,4,3386,13,15,508,1,0,8,193,1,4,2,1,7,4,0,2,6,2,2,2,3,0,0,4,3
8646,2013,2,18,30,317,294,385,18513,1,13928,16,86,1375,1,0,10,0,0,15,11,1,11,4,5,3,6,2,2,2,7,5,0,4,3
74104,2011,3,14,2011,1024,153,600,1330,6,3704,2,11,1069,1,0,8,537,1,7,4,2,7,4,6,6,6,2,2,2,3,0,0,2,1
37501,2013,1,24,17,342,1216,1182,22713,7,10895,12,88,1311,1,0,8,1219,0,3,1,0,7,4,4,5,6,2,2,2,8,6,0,1,1
33001,2012,10,10,2012,448,377,2198,3218,0,7569,19,94,1746,0,0,12,883,1,6,10,5,8,0,0,2,0,0,2,2,0,1,1,1,1
69202,2013,2,23,13,312,788,977,28626,5,8237,6,96,1893,1,0,1,1412,1,3,1,0,0,0,3,1,6,2,1,1,8,6,0,1,1
68409,2013,3,16,14,291,487,230,8331,5,6065,6,16,272,1,0,11,2689,1,3,1,0,9,4,4,5,6,2,1,1,8,6,0,1,1
51847,2011,3,19,2011,1019,508,600,41000,8,10097,2,11,1871,1,0,8,2471,1,7,4,2,7,4,6,6,6,2,0,0,3,0,0,2,1
55647,2012,10,12,2012,446,385,454,42081,0,16959,17,104,374,1,0,10,0,1,15,11,1,11,4,0,2,6,2,0,0,7,5,0,4,3
17923,2011,7,31,21,885,574,443,31252,4,12022,13,121,69,1,0,0,0,1,15,11,1,7,4,0,2,0,0,3,3,7,5,0,4,3
71743,2011,2,26,25,1040,441,443,42170,8,21063,14,29,1920,1,0,4,2853,1,7,4,2,7,4,4,5,6,2,0,0,6,4,1,6,5
51539,2013,2,9,2013,326,385,443,37943,4,9947,17,5,247,2,0,10,0,0,8,5,1,11,4,6,6,6,2,1,1,7,5,0,4,3
73819,2011,4,1,2011,1006,2065,340,19617,6,14397,2,14,1355,1,0,8,1453,0,7,4,2,7,4,4,5,6,2,1,1,3,0,0,2,1
66881,2011,4,22,2011,985,809,895,36051,1,2898,10,62,413,1,0,8,0,0,8,5,1,7,4,5,3,6,2,1,1,7,5,0,4,3
58768,2013,2,9,14,326,179,443,6348,3,5448,5,31,1947,1,0,8,0,1,8,5,1,7,4,6,6,6,2,1,1,7,5,0,4,3
2648,2011,7,8,2011,908,433,335,2439,3,18038,4,6,27,1,0,8,0,1,3,1,0,7,4,0,2,6,2,2,2,8,6,0,1,1
68933,2013,8,2,21,152,294,385,22814,1,5453,16,61,680,2,0,8,314,1,3,1,0,7,4,3,1,6,2,1,1,8,6,0,1,1
12427,2013,1,23,6,343,508,443,19674,3,6053,5,31,2052,1,0,12,0,0,8,5,1,7,4,0,2,6,2,1,1,7,5,0,4,3
16633,2011,8,5,2011,880,809,895,43975,2,19543,10,62,1551,0,0,8,0,0,9,6,3,7,4,0,2,6,2,3,3,7,5,0,6,5
24123,2011,2,16,2,1050,67,110,45683,6,11959,3,34,2008,1,0,8,0,1,4,2,1,7,4,0,2,6,2,1,1,3,0,0,4,3
58551,2011,4,9,2011,998,1823,340,13386,8,9387,2,14,1411,1,0,8,1884,0,7,4,2,7,4,4,5,6,2,0,0,3,0,0,2,1
17132,2011,3,17,4,1021,40,398,44000,8,470,14,29,1979,1,0,12,2754,1,7,4,2,7,4,4,5,6,2,1,1,6,4,1,2,1
3027,2013,2,9,3,326,1355,443,27371,3,4968,5,30,547,1,0,8,749,0,14,10,5,7,4,6,6,6,2,2,2,3,0,0,1,1
2651,2013,2,14,53,321,0,0,5462,0,6874,18,109,358,1,0,8,1202,2,7,4,2,7,4,6,6,7,5,0,0,3,0,0,1,1
25998,2013,1,27,31,339,445,567,3568,7,20809,12,116,1578,1,0,11,193,1,14,10,5,7,4,0,2,6,2,0,0,3,0,0,2,1
63400,2013,3,25,2,282,1443,177,34007,5,10262,0,65,852,1,0,9,0,0,3,1,0,10,4,6,6,6,2,2,2,5,3,1,2,1
50028,2011,4,4,2011,1003,247,340,42113,8,14397,2,14,655,1,0,8,864,0,7,4,2,7,4,3,1,6,2,0,0,3,0,0,1,1
67897,2013,2,21,13,314,1691,1773,43411,5,5765,8,108,1886,1,0,0,0,1,8,5,1,11,4,6,6,4,4,2,2,7,5,0,4,3
21425,2011,8,10,2011,875,574,672,19110,4,14943,13,67,1495,2,0,8,0,1,15,11,1,7,4,0,2,7,5,4,4,3,0,0,4,3
71756,2012,10,20,2012,438,59,36,15504,0,5598,17,104,2032,1,0,10,0,0,8,5,1,11,4,0,2,6,2,3,3,7,5,0,4,3
16862,2013,3,24,4,283,957,1190,27559,5,18135,6,106,1903,1,0,11,56,1,3,1,0,9,4,3,1,6,2,1,1,8,6,0,1,1
15420,2011,4,18,17,989,1558,1715,21358,6,9402,3,91,629,1,0,8,2800,1,3,1,0,7,4,0,2,6,2,0,0,6,4,1,1,1
47784,2011,8,3,2011,882,0,0,43341,4,979,4,8,495,1,0,8,0,0,3,1,0,7,4,0,2,6,2,2,2,5,3,1,1,1
712,2013,2,7,5,328,311,405,41300,7,20154,12,87,1566,1,0,4,0,1,4,2,1,3,2,4,5,4,4,1,1,3,0,0,4,3
54368,2011,8,10,2011,875,586,722,45683,4,901,13,45,1462,1,0,8,0,1,9,6,3,7,4,0,2,6,2,3,3,7,5,0,6,5
2866,2011,7,5,2011,911,0,0,7331,1,16192,10,100,840,1,0,8,459,2,3,1,0,7,4,0,2,6,2,1,1,8,6,0,1,1
51130,2012,10,7,2012,451,508,638,37227,0,12074,17,64,1458,1,0,4,2163,1,3,1,0,3,2,0,2,6,2,3,3,5,3,1,1,1
27993,2011,3,14,2011,1024,2107,443,8434,0,8005,2,42,847,1,0,8,332,0,15,11,1,7,4,0,2,6,2,1,1,7,5,0,4,3
21621,2013,1,16,38,350,377,443,40229,3,17942,5,28,765,1,0,12,0,0,7,4,2,7,4,0,2,6,2,1,1,7,5,0,2,1
