id,year_recorded,month_recorded,day_recorded,age_of_pump,date_recorded_distance_days_20140101
32089,2012,10,29,2012,429
8230,2013,10,3,5,90
43433,2013,10,2,21,91
62188,2011,4,1,9,1006
19,2013,2,23,1,312
26577,2013,2,20,13,315
68887,2011,4,8,2011,999
9382,2013,1,30,37,336
65238,2013,2,11,3,324
17897,2011,3,29,2011,1009
29744,2013,3,14,43,293
23987,2011,7,17,2011,899
26655,2011,4,12,2011,995
17978,2013,3,14,5,293
51558,2011,3,25,2011,1013
48007,2013,3,1,5,306
25534,2011,3,10,3,1028
13969,2012,10,13,2012,445
39548,2013,2,19,25,316
25143,2011,3,31,16,1007
25736,2013,5,4,1,242
17516,2013,1,21,9,345
66980,2012,11,5,2012,422
45444,2011,3,12,7,1026
59310,2011,7,18,2011,898
59102,2013,3,17,11,290
61883,2011,3,14,3,1024
93,2013,2,26,18,309
15988,2011,9,4,33,850
19304,2011,3,4,5,1034
44092,2013,2,14,14,321
66242,2011,3,24,2011,1014
51611,2013,2,13,2,322
53847,2011,3,20,2011,1018
67634,2013,2,12,4,323
24757,2013,3,16,41,291
37524,2013,3,4,11,303
16341,2012,10,21,4,437
39176,2011,3,19,16,1019
24836,2013,2,3,29,332
73470,2011,4,8,2011,999
11533,2012,10,26,2012,432
74217,2013,6,4,3,211
7007,2011,2,22,19,1044
4101,2011,8,14,2011,871
17041,2011,8,20,27,865
38725,2011,4,16,2,991
39749,2013,3,18,3,289
62642,2013,3,25,2013,282
49453,2013,3,29,10,278
63018,2011,3,7,11,1031
65932,2013,2,7,2013,328
56863,2013,2,26,14,309
23835,2011,3,19,7,1019
34870,2013,2,5,2013,330
39915,2013,3,19,45,288
9736,2011,7,24,0,892
70019,2011,7,25,2011,891
20984,2011,8,4,2011,881
20132,2013,2,7,2013,328
5963,2013,2,23,2013,312
3740,2011,3,3,26,1035
26943,2011,3,17,31,1021
43742,2013,2,17,6,318
5784,2011,8,6,37,879
42548,2011,3,19,2011,1019
5121,2011,3,18,29,1020
57478,2011,7,12,2011,904
58537,2013,2,21,20,314
3627,2011,3,11,19,1027
4062,2011,7,30,2011,886
15832,2013,3,22,13,285
34741,2013,8,2,21,152
67097,2011,3,4,2,1034
4437,2013,9,3,12,120
65817,2013,3,17,10,290
39559,2011,3,21,2,1017
54412,2011,4,8,2011,999
25344,2011,2,23,17,1043
2301,2013,3,15,41,292
32844,2013,3,14,13,293
59874,2011,7,28,2011,888
50233,2013,3,12,13,295
29639,2011,4,1,2011,1006
65584,2013,3,30,6,277
43808,2012,10,13,2012,445
6788,2013,2,13,15,322
51220,2012,10,21,2012,437
16872,2011,7,27,2011,889
66383,2013,12,3,37,29
58599,2013,2,4,13,331
29383,2012,10,10,2012,448
36809,2011,2,20,3,1046
29753,2011,7,13,2011,903
72112,2013,1,22,27,344
34926,2013,1,19,33,347
59898,2011,3,26,13,1012
779,2011,3,26,2011,1012
68126,2011,3,8,29,1030
48102,2013,2,21,2013,314
24794,2011,4,4,2011,1003
29771,2011,8,8,2011,877
29052,2013,1,29,34,337
4923,2011,4,3,2011,1004
38642,2013,1,25,31,341
27079,2011,4,2,2011,1005
60111,2011,4,16,2,991
12478,2013,3,18,7,289
67155,2012,10,11,2012,447
54733,2013,2,6,12,329
45654,2011,3,19,11,1019
54678,2011,4,14,2,993
1439,2013,1,25,3,341
16313,2012,10,21,2012,437
6735,2013,3,25,3,282
3328,2011,2,27,33,1039
1220,2011,7,18,2011,898
57970,2013,2,3,9,332
44204,2013,3,6,39,301
63675,2013,1,4,10,362
40519,2013,2,11,10,324
66382,2013,2,18,19,317
45386,2013,1,23,13,343
43604,2011,3,23,7,1015
59053,2011,3,12,33,1026
1030,2011,7,19,23,897
52677,2012,11,4,2012,423
1738,2011,3,10,8,1028
19548,2011,8,1,2011,884
30897,2011,3,3,15,1035
27523,2011,2,24,4,1042
815,2013,2,4,2,331
14910,2013,2,17,28,318
11184,2013,2,24,13,311
49071,2013,3,16,11,291
22000,2012,10,2,2012,456
60074,2013,2,3,16,332
60374,2013,4,4,13,272
25913,2011,3,9,2011,1029
6205,2011,2,24,4,1042
48390,2013,6,4,13,211
3980,2011,4,16,5,991
11905,2013,3,19,2,288
45320,2011,3,5,5,1033
31264,2013,2,1,2013,334
16537,2012,10,23,2012,435
9096,2011,7,14,2011,902
33104,2013,2,13,15,322
11754,2012,10,7,2012,451
4147,2013,2,9,4,326
53577,2013,3,25,35,282
42476,2011,3,7,11,1031
68995,2013,1,28,33,338
32255,2011,3,24,2,1014
8699,2011,4,18,36,989
1203,2011,8,3,1,882
70666,2013,2,28,2013,307
26293,2013,3,18,33,289
44358,2013,3,5,5,302
64687,2013,2,14,20,321
71489,2012,11,15,29,412
61994,2013,3,15,35,292
42306,2011,8,12,20,873
67453,2013,2,4,3,331
11581,2013,1,23,4,343
14123,2013,2,18,38,317
18266,2011,8,3,2011,882
59263,2013,3,18,4,289
6387,2011,4,1,2011,1006
28359,2011,3,5,39,1033
17571,2013,3,2,3,305
53558,2013,3,13,6,294
66967,2012,10,12,2012,446
72238,2011,3,13,19,1025
12207,2013,2,25,18,310
68495,2011,8,23,2011,862
19283,2011,2,24,3,1042
38565,2013,2,5,4,330
3522,2012,10,8,2012,450
21927,2011,4,1,2011,1006
60029,2013,2,6,37,329
26851,2011,3,20,11,1018
41968,2013,1,28,1,338
38379,2011,3,17,1,1021
54983,2012,10,15,2012,443
68333,2011,3,4,17,1034
65944,2011,3,23,24,1015
5947,2011,4,10,2011,997
42347,2011,3,11,14,1027
67371,2011,4,2,2011,1005
64048,2013,3,6,2,301
42733,2011,3,7,29,1031
4133,2011,4,12,2011,995
50124,2011,3,4,14,1034
69502,2011,3,19,3,1019
45876,2011,4,12,2011,995
52402,2011,7,13,2011,903
24691,2011,2,23,1,1043
67950,2011,2,26,27,1040
19232,2013,3,5,33,302
65266,2013,2,27,1,308
48401,2011,3,3,27,1035
53972,2013,3,26,8,281
59369,2011,3,19,27,1019
21737,2011,7,13,16,903
13211,2013,1,29,33,337
63864,2011,3,1,26,1037
30174,2011,4,16,2,991
70930,2013,1,21,3,345
36823,2012,10,18,2012,440
63746,2011,4,11,2011,996
24331,2011,3,19,3,1019
41174,2011,7,24,2011,892
70070,2013,2,25,11,310
31332,2011,3,29,2011,1009
11011,2011,3,23,6,1015
12245,2011,3,4,7,1034
68493,2013,3,7,33,300
5946,2011,2,23,10,1043
27334,2011,3,18,2011,1020
60626,2013,1,24,6,342
69018,2013,3,18,3,289
49196,2011,4,4,2011,1003
26839,2013,2,12,23,323
58681,2013,2,5,15,330
70584,2012,10,21,2012,437
6758,2012,12,14,2012,383
65476,2013,1,16,28,350
63687,2011,2,25,25,1041
49678,2013,2,22,23,313
57948,2011,3,7,16,1031
42350,2011,3,17,18,1021
4526,2011,2,20,14,1046
51133,2011,3,11,33,1027
70054,2012,10,23,2012,435
48080,2013,1,20,3,346
12552,2011,2,14,4,1052
52707,2011,4,12,2011,995
68660,2011,7,28,2011,888
64257,2013,2,5,3,330
46719,2013,2,1,38,334
17219,2013,8,3,46,151
29658,2011,3,29,2011,1009
14992,2013,3,18,4,289
56386,2011,7,21,9,895
8757,2011,3,24,0,1014
13727,2012,10,29,14,429
22928,2013,6,3,0,212
63748,2013,1,14,6,352
42195,2011,4,10,2011,997
36067,2013,2,11,29,324
54113,2013,1,20,23,346
59405,2011,4,14,2,993
62511,2013,1,20,5,346
23315,2012,10,4,2012,454
40509,2013,1,17,13,349
45093,2011,3,24,2011,1014
45889,2011,7,26,2011,890
71634,2012,10,21,2012,437
15250,2011,7,28,6,888
32245,2013,1,24,21,342
3777,2011,7,16,39,900
71658,2011,3,25,33,1013
48546,2011,4,7,2011,1000
11957,2011,4,14,2011,993
49862,2013,3,18,39,289
38775,2012,10,16,2012,442
66760,2013,2,14,2013,321
61574,2011,8,2,2011,883
57395,2013,1,30,13,336
21830,2012,11,15,29,412
18225,2011,3,5,5,1033
25165,2011,3,14,19,1024
67199,2011,8,5,2011,880
22385,2011,3,23,36,1015
4636,2011,2,22,19,1044
35726,2011,3,4,8,1034
6939,2012,10,19,2012,439
31692,2011,2,24,2,1042
47016,2011,8,11,3,874
53147,2013,1,27,9,339
27776,2011,8,3,2011,882
17242,2011,3,12,1,1026
53218,2011,3,14,12,1024
60433,2012,10,19,2012,439
48033,2011,4,15,2011,992
58642,2013,1,25,41,341
7420,2013,1,29,2013,337
11811,2011,7,28,28,888
54548,2013,3,30,41,277
54848,2013,3,14,13,293
32336,2011,3,17,2011,1021
26535,2013,2,9,21,326
71856,2013,2,22,50,313
53518,2013,1,21,20,345
11087,2011,2,22,3,1044
14701,2013,3,16,41,291
11447,2013,1,21,37,345
23819,2011,3,23,18,1015
27069,2013,11,3,46,59
21064,2011,3,20,13,1018
36711,2011,7,31,2011,885
37750,2011,3,8,2011,1030
47102,2011,3,5,9,1033
13734,2011,3,27,13,1011
50708,2013,3,15,26,292
38763,2011,3,13,2011,1025
38220,2013,2,7,23,328
5060,2013,2,11,7,324
29153,2013,1,24,38,342
53985,2012,10,27,2012,431
6519,2013,3,6,41,301
47117,2013,2,23,36,312
20625,2013,2,10,2013,325
46110,2013,1,16,16,350
72474,2011,3,31,16,1007
623,2013,1,25,3,341
27561,2013,5,3,17,243
52067,2013,3,22,13,285
6757,2011,3,26,4,1012
54596,2012,10,15,2012,443
67545,2011,8,8,2011,877
51355,2012,10,22,2012,436
28846,2011,3,20,2,1018
13685,2011,3,11,8,1027
7863,2011,7,12,2011,904
55543,2013,2,13,23,322
63908,2011,3,11,7,1027
23407,2011,3,11,3,1027
57452,2013,3,1,31,306
42339,2011,3,23,3,1015
42491,2013,5,3,9,243
27128,2012,10,4,2012,454
28741,2011,2,21,2011,1045
7936,2011,7,23,2011,893
40427,2013,1,24,38,342
64144,2011,3,9,6,1029
15188,2012,10,17,2012,441
25220,2013,2,18,29,317
59031,2011,2,22,3,1044
69979,2011,7,29,2011,887
25199,2012,10,19,2012,439
70644,2013,9,2,21,121
7841,2013,1,18,53,348
32699,2012,10,2,2012,456
25339,2011,4,4,2011,1003
53106,2011,4,8,2011,999
39953,2012,10,3,2012,455
22679,2011,4,10,2011,997
32012,2013,2,9,13,326
35007,2011,3,11,31,1027
19409,2013,2,10,2013,325
54670,2011,3,5,14,1033
36702,2011,2,23,26,1043
57293,2012,11,5,2012,422
50001,2013,1,25,17,341
6002,2013,3,19,13,288
46231,2013,3,20,2,287
10342,2011,3,17,21,1021
54599,2012,11,15,2012,412
26302,2013,2,26,12,309
24052,2011,7,13,2011,903
11362,2012,11,8,2012,419
4554,2011,3,11,13,1027
3873,2011,2,15,4,1051
1856,2011,3,19,36,1019
19574,2013,2,10,21,325
3843,2012,10,24,2,434
71216,2011,7,12,2011,904
42487,2013,3,10,41,297
19869,2013,3,17,35,290
71891,2012,10,8,2012,450
5875,2013,1,17,34,349
63423,2013,7,3,5,182
38537,2012,10,24,2012,434
880,2011,3,8,1,1030
28306,2013,2,6,21,329
69377,2013,1,25,2013,341
492,2012,10,23,2012,435
11641,2011,7,6,2011,910
69883,2013,3,19,5,288
8709,2013,2,14,9,321
8316,2013,3,20,4,287
32164,2011,8,4,33,881
49888,2013,1,22,21,344
17809,2011,3,11,14,1027
71837,2012,10,5,2012,453
36267,2013,1,23,2013,343
64333,2013,1,22,5,344
39105,2013,2,16,35,319
13866,2012,10,29,2012,429
42943,2013,1,23,2013,343
42959,2013,1,17,2,349
27736,2011,3,13,2011,1025
68179,2011,7,8,2011,908
19672,2011,3,31,2011,1007
37322,2013,3,23,8,284
42431,2011,2,27,3,1039
25766,2012,12,13,2012,384
70897,2011,8,25,19,860
61759,2013,2,6,6,329
64031,2011,3,17,1,1021
18488,2011,3,21,22,1017
13501,2013,4,4,37,272
26856,2011,2,25,3,1041
59448,2011,7,25,2011,891
56471,2013,2,23,9,312
17287,2012,10,26,2012,432
8080,2013,2,6,35,329
27799,2012,10,22,2012,436
35558,2013,2,8,6,327
63978,2013,2,1,37,334
45566,2013,1,26,33,340
61039,2012,10,18,2012,440
71895,2011,7,27,2011,889
968,2013,1,4,11,362
3995,2004,8,1,7,3440
1604,2011,8,25,39,860
53188,2013,2,14,17,321
5562,2011,3,21,0,1017
10976,2013,1,18,38,348
18814,2011,3,4,14,1034
43732,2011,3,8,40,1030
72282,2013,3,17,13,290
69101,2013,1,17,23,349
25947,2011,7,7,2011,909
43149,2011,3,20,4,1018
50383,2013,3,3,19,304
49431,2013,1,19,4,347
45744,2011,4,6,2011,1001
18848,2011,7,28,2011,888
711,2013,2,22,23,313
6044,2011,4,9,2011,998
2940,2013,1,30,13,336
57305,2011,4,1,2011,1006
58286,2012,12,14,2012,383
66643,2011,4,1,2011,1006
12756,2013,3,4,37,303
15545,2011,2,23,0,1043
47221,2012,10,19,2012,439
2414,2013,2,22,4,313
11497,2011,4,3,2011,1004
71236,2012,10,31,4,427
26174,2011,3,7,42,1031
14985,2013,6,3,10,212
41560,2012,10,18,2012,440
26204,2011,8,4,33,881
21623,2011,3,5,27,1033
37757,2013,3,14,11,293
59179,2012,10,21,7,437
1981,2011,3,8,2011,1030
72237,2013,3,15,2013,292
51820,2013,2,9,2013,326
23732,2011,7,23,2011,893
47193,2011,2,22,33,1044
5464,2013,2,25,7,310
57085,2011,8,7,2011,878
59694,2013,2,24,8,311
56708,2011,3,15,2,1023
3091,2011,4,16,1,991
37039,2013,5,4,1,242
13201,2013,1,24,10,342
10527,2011,2,23,10,1043
40666,2012,10,22,20,436
47783,2013,1,30,2013,336
47756,2013,1,24,25,342
66682,2011,3,11,26,1027
11388,2011,8,5,2011,880
1605,2011,3,10,13,1028
10065,2011,4,2,12,1005
72943,2011,4,3,2011,1004
38507,2011,4,18,36,989
54163,2011,3,24,22,1014
27790,2011,4,1,3,1006
37114,2011,3,15,29,1023
70237,2013,1,17,28,349
47075,2011,3,30,1,1008
61558,2013,2,28,11,307
28921,2011,7,31,2011,885
38293,2011,3,16,13,1022
23288,2011,3,6,39,1032
50641,2011,7,18,2011,898
1074,2011,4,5,2011,1002
68641,2013,2,15,13,320
40102,2011,3,15,11,1023
51665,2013,7,2,18,183
13739,2011,4,4,2011,1003
60171,2011,7,30,0,886
18825,2013,4,4,6,272
7942,2013,2,27,39,308
60688,2011,3,6,38,1032
9401,2011,3,14,26,1024
58495,2012,10,5,2012,453
41985,2013,2,16,2013,319
17569,2013,3,13,13,294
14438,2013,2,5,1,330
52390,2011,7,18,2011,898
37241,2011,3,7,5,1031
37507,2013,2,21,9,314
2829,2012,10,22,2012,436
34664,2011,3,27,2011,1011
16672,2011,4,14,2011,993
4778,2011,7,8,2011,908
55567,2013,3,22,3,285
11871,2011,7,15,5,901
27571,2011,3,3,16,1035
13555,2011,3,4,2011,1034
23465,2013,2,1,1,334
28822,2012,11,12,2012,415
50898,2011,8,1,2011,884
53006,2011,3,23,27,1015
56631,2013,3,20,13,287
46988,2011,2,28,27,1038
4672,2011,7,12,2011,904
35778,2011,3,13,6,1025
70424,2011,7,26,2011,890
58389,2013,1,23,31,343
11695,2013,1,21,30,345
37915,2011,7,31,2011,885
65995,2013,1,29,5,337
8988,2011,3,11,10,1027
12598,2013,2,26,7,309
34130,2013,2,15,15,320
28032,2011,2,26,1,1040
72055,2011,4,4,29,1003
14727,2013,2,26,18,309
7784,2011,7,13,2011,903
44120,2011,3,7,4,1031
6424,2011,3,14,2011,1024
146,2011,3,21,2011,1017
56277,2011,3,27,3,1011
60410,2011,7,13,2011,903
61169,2013,2,18,7,317
22244,2011,7,28,2011,888
61060,2011,2,25,23,1041
33006,2013,11,3,5,59
6988,2013,3,21,1,286
23156,2011,3,11,14,1027
54772,2011,2,25,25,1041
19362,2013,1,23,2013,343
60535,2011,2,2,30,1064
54055,2012,10,8,2012,450
6171,2011,2,24,11,1042
48519,2013,1,27,26,339
33946,2013,2,2,33,333
68894,2011,3,21,11,1017
36606,2012,10,23,2012,435
72553,2012,10,7,2012,451
13987,2013,1,20,1,346
20639,2011,4,8,2011,999
21896,2011,3,25,2,1013
25354,2011,2,25,1,1041
24752,2013,4,3,14,273
7691,2013,3,16,13,291
61992,2013,2,6,6,329
19080,2011,8,25,0,860
34305,2013,1,17,2013,349
36513,2013,3,28,13,279
41986,2013,3,26,2,281
36255,2013,2,21,8,314
28016,2013,1,31,1,335
55033,2011,3,12,0,1026
18928,2011,7,10,2011,906
44976,2012,10,18,2012,440
7296,2011,4,17,7,990
10085,2013,1,30,2013,336
15643,2011,3,31,1,1007
1817,2013,3,13,9,294
15975,2013,1,22,36,344
22396,2011,7,5,2011,911
2547,2011,4,11,33,996
24638,2013,2,1,8,334
47697,2012,10,26,2012,432
25000,2012,10,26,0,432
52461,2013,2,9,4,326
49160,2011,4,12,2011,995
42590,2013,2,28,23,307
65061,2011,7,24,2011,892
25243,2011,3,23,24,1015
30320,2011,3,14,2011,1024
69136,2012,10,8,2012,450
28993,2011,3,7,10,1031
25367,2011,4,17,2011,990
53109,2011,7,26,2011,890
18169,2011,3,19,1,1019
18729,2011,3,4,14,1034
40750,2011,3,9,26,1029
16363,2011,3,31,2011,1007
22402,2011,2,27,3,1039
52686,2011,7,28,2011,888
50841,2011,6,4,33,942
12656,2013,2,25,7,310
21315,2013,2,4,11,331
32543,2011,7,24,2011,892
73274,2012,11,8,22,419
20697,2011,8,5,2011,880
5009,2013,3,30,43,277
19781,2013,2,27,2,308
56226,2011,3,5,5,1033
69168,2013,3,13,14,294
26962,2013,1,28,2013,338
43964,2011,3,15,11,1023
72849,2013,3,4,38,303
15974,2011,3,10,8,1028
5071,2011,2,25,2,1041
